platform_id,name,web_url,pricing_model,affiliate_program
reelshort,ReelShort,https://www.reelshort.com/,coins + IAP,yes
dramabox,DramaBox,,coins + IAP,tbc
shortmax,ShortMax,,coins + IAP,tbc
my-drama,My Drama,https://my-drama.com/,coins + subscription,tbc
netshort,NetShort,https://netshort.com/,coins + IAP,tbc
goodshort,GoodShort,https://www.goodshort.com/,coins + IAP,tbc
vigloo,Vigloo,https://www.vigloo.com/,coins + IAP,tbc
shortical,Shortical,,coins + IAP,tbc
shorts,Shorts,,coins + IAP,tbc
flickreels,FlickReels,,coins + IAP,tbc
playlet,Playlet,,coins + IAP,tbc
kalostv,KalosTV,,coins + IAP,tbc
stardusttv,StardustTV,,coins + IAP,tbc
gammatime,GammaTime,,coins + subscription,tbc
pinedrama,PineDrama,https://pinedrama.com/,free (ad-supported),tbc
anyreel,AnyReel,,ad-reward coins,tbc
veloria,Veloria,,coins + IAP,tbc
starshort,StarShort,,coins + IAP,tbc
dramapops,DramaPops,,coins + IAP,tbc
candyjar,CandyJar,https://candyjar.com/,subscription (ad-free),tbc
dramawave,DramaWave,,coins + IAP,tbc
dramareels,DramaReels,,coins + IAP,tbc
dreameshort,DreameShort,,tbc,tbc
dramashorts,DramaShorts,,tbc,tbc
sizzletv,Sizzle TV,,tbc,tbc
freereels,FreeReels,,tbc,tbc
shotshort,ShotShort,,tbc,tbc
dramatv,DramaTV,,tbc,tbc
candytv,CandyTV,,tbc,tbc
4drama,4Drama,,tbc,tbc
flextv,FlexTV,,tbc,tbc
novaflick,NovaFlick,,tbc,tbc
thisreels,ThisReels,,tbc,tbc
sodatv,Soda TV,,tbc,tbc
momeshort,MomeShort,,tbc,tbc
muvpix,MuVpix,,tbc,tbc
toonory,Toonory,,tbc,tbc
aurareels,AuraReels,,tbc,tbc
venixtv,Venix TV,,tbc,tbc
pocketfm,Pocket FM,,tbc,tbc
starreel,StarReel,,tbc,tbc
leapreels,LeapReels,,tbc,tbc
tastelife,TasteLife,,tbc,tbc
moboreels,moboReels,,tbc,tbc
idrama,iDrama,,tbc,tbc
manyshort,ManyShort,,tbc,tbc
mymuse,MyMuse,,tbc,tbc
ppshort,PPShort,,tbc,tbc
vibeoshort,VibeoShort,,tbc,tbc
flareflow,FlareFlow,,tbc,tbc
rovashort,rovashort,,tbc,tbc
vibeshort,vibeshort,,tbc,tbc
joyreels,joyreels,,tbc,tbc
ziptaletv,ziptaleTV,,tbc,tbc
vyntage,Vyntage,,tbc,tbc
topreel,TopReel,,tbc,tbc
storyreel,StoryReel,,tbc,tbc
sanpplay,SanpPlay,,tbc,tbc
swoopreels,SwoopReels,,tbc,tbc
flikso,Flikso,,tbc,tbc
plotify,Plotify,,tbc,tbc
shortly,Shortly,,tbc,tbc
torix,Torix,,tbc,tbc
loopshort,LoopShort,,tbc,tbc
iqiyi,iQIYI,,tbc,tbc
wetv,WeTV,,tbc,tbc
nebuluxe,Nebuluxe,,tbc,tbc
lunory,Lunory,,tbc,tbc
reelai,ReelAI,,tbc,tbc
plotjoy,PlotJoy,,tbc,tbc
