trope_id,name,slug,description,title_count
a-nobody,a nobody,a-nobody,,3
age-gap,age gap,age-gap,,309
alpha,alpha,alpha,,463
alternate-history,alternate-history,alternate-history,,21
amnesia,amnesia,amnesia,,23
ancient-times,ancient-times,ancient-times,,16
another-world,another-world,another-world,,10
apocalypse,apocalypse,apocalypse,,65
athletes,athletes,athletes,,217
attorney,attorney,attorney,,171
bad-boy,bad boy,bad-boy,,14
bad-girl,bad girl,bad-girl,,5
beast,beast,beast,,20
betrayal,betrayal,betrayal,,96
biker,biker,biker,,1
billionaire,billionaire,billionaire,,1004
bl,bl,bl,,14
blind-date,blind date,blind-date,,3
body-swap,body swap,body-swap,,3
bodyguard,bodyguard,bodyguard,,20
bodyguard-romance,bodyguard romance,bodyguard-romance,,10
boss-romance,boss romance,boss-romance,,5
boxers,boxers,boxers,,2
brothers-best-friend,brothers best friend,brothers-best-friend,,2
bullying,bullying,bullying,,261
business,business,business,,269
camp-romance,camp romance,camp-romance,,1
campus,campus,campus,,402
celebrity,celebrity,celebrity,,11
ceo,CEO,ceo,,103
cheating,cheating,cheating,,623
childhood-sweethearts,childhood sweethearts,childhood-sweethearts,,5
cinderella,cinderella,cinderella,,777
college-romance,college romance,college-romance,,12
comeback,comeback,comeback,,12
comeback-story,comeback story,comeback-story,,5
contract,contract,contract,,33
contract-lovers,contract lovers,contract-lovers,,19
contract-marriage,contract marriage,contract-marriage,,969
counterattack,counterattack,counterattack,,28
cowboy,cowboy,cowboy,,2
crush-to-love,crush to love,crush-to-love,,398
cute-kids,cute kids,cute-kids,,1065
dark,dark,dark,,3
dark-romance,dark romance,dark-romance,,646
destined-love,destined love,destined-love,,2
destiny,destiny,destiny,,13
devil,devil,devil,,106
divorce,divorce,divorce,,49
doctor,doctor,doctor,,1
dragon,dragon,dragon,,137
dynamic-duo,dynamic duo,dynamic-duo,,474
eastern-fantasy,eastern-fantasy,eastern-fantasy,,9
empress,empress,empress,,16
enemies-to-lovers,enemies to lovers,enemies-to-lovers,,253
entertainment,entertainment,entertainment,,123
escape-from-wedding,escape from wedding,escape-from-wedding,,93
fake-dating,fake dating,fake-dating,,6
fake-relationship,fake relationship,fake-relationship,,41
family,family,family,,1
family-bonds,family bonds,family-bonds,,11
family-drama,family drama,family-drama,,46
family-ethics,family-ethics,family-ethics,,5
family-intrigue,family intrigue,family-intrigue,,1
family-reunion,family reunion,family-reunion,,316
fantasy-romance,fantasy-romance,fantasy-romance,,23
fantasy-world,fantasy-world,fantasy-world,,13
fated-mates,fated mates,fated-mates,,26
female-empowerment,female-empowerment,female-empowerment,,19
